mem_no,gender,birthday,addr,join_date
1000673,man,1995-03-28,Daegu,2019-10-22
1000674,man,1995-04-20,Seoul,2019-10-22
1000675,man,1995-04-20,Seoul,2019-10-22
1000676,man,1995-04-20,Seoul,2019-10-22
1000679,man,1998-12-09,Daegu,2019-10-22
1000680,man,1998-12-13,Gwangju,2019-10-22
1000681,man,1999-01-12,Seoul,2019-10-22
1000682,man,1999-03-10,Seoul,2019-10-22
1000683,man,1999-04-14,Incheon,2019-10-22
1000684,man,1999-05-01,Seoul,2019-10-22
1000685,man,1999-06-09,Daegu,2019-10-22
1000686,man,1999-06-24,Seoul,2019-10-22
1000690,man,2004-05-31,Daegu,2019-10-22
1000691,man,2004-06-04,Gwangju,2019-10-22
1000692,man,2004-07-04,Seoul,2019-10-22
1000693,man,2004-08-30,Seoul,2019-10-22
1000694,man,2004-10-04,Incheon,2019-10-22
1000695,man,2004-10-21,Seoul,2019-10-22
1000696,man,2004-11-29,Daegu,2019-10-22
1000697,man,2004-12-14,Seoul,2019-10-22
1000703,man,1968-10-08,Daegu,2019-11-19
1000704,man,1968-10-26,Gwangju,2019-11-19
1000705,man,1968-11-12,Seoul,2019-11-19
1000706,man,1968-12-09,Seoul,2019-11-19
1000707,man,1968-12-12,Incheon,2019-11-19
1000708,man,1968-12-29,Seoul,2019-11-19
1000709,man,1969-01-27,Daegu,2019-11-19
1000710,man,1969-01-31,Seoul,2019-11-19
1000711,man,1969-02-14,Gyeonggi,2019-11-19
1000719,man,2004-05-12,Daegu,2019-11-19
1000720,man,2004-05-30,Gwangju,2019-11-19
1000721,man,2004-06-16,Seoul,2019-11-19
1000722,man,2004-07-13,Seoul,2019-11-19
1000723,man,2004-07-16,Incheon,2019-11-19
1000724,man,2004-08-02,Seoul,2019-11-19
1000725,man,2004-08-31,Daegu,2019-11-19
1000726,man,2004-09-04,Seoul,2019-11-19
1000727,man,2004-09-18,Gyeonggi,2019-11-19
1000728,man,2009-11-02,Daegu,2019-11-19
1000729,man,2009-11-20,Gwangju,2019-11-19
1000730,man,2009-12-07,Seoul,2019-11-19
1000731,man,2010-01-03,Seoul,2019-11-19
1000732,man,2010-01-06,Incheon,2019-11-19
1000733,man,2010-01-23,Seoul,2019-11-19
1000734,man,2010-02-21,Daegu,2019-11-19
1000735,man,2010-02-25,Seoul,2019-11-19
1000736,man,2010-03-11,Gyeonggi,2019-11-19
1000759,man,1995-03-28,Gwangju,2019-11-23
1000760,man,1995-03-28,Gwangju,2019-11-23
1000761,man,1995-03-28,Gwangju,2019-11-23
1000779,man,1995-04-20,Seoul,2019-11-24
1000780,man,1995-04-20,Seoul,2019-11-24
1000781,man,1995-04-20,Seoul,2019-11-24
1000819,man,1965-08-16,Gyeonggi,2019-12-03
1000820,man,1965-08-21,Gyeonggi,2019-12-03
1000821,man,1965-09-20,Gangwon,2019-12-03
1000822,man,1965-09-28,Busan,2019-12-03
1000823,man,1965-11-21,Daejeon,2019-12-03
1000824,man,1965-12-04,Jeju,2019-12-03
1000825,man,1966-01-09,Jeju,2019-12-03
1000826,man,1966-01-14,Daegu,2019-12-03
1000836,man,2001-03-20,Gyeonggi,2019-12-03
1000837,man,2001-03-25,Gyeonggi,2019-12-03
1000838,man,2001-04-24,Gangwon,2019-12-03
1000839,man,2001-05-02,Busan,2019-12-03
1000840,man,2001-06-25,Daejeon,2019-12-03
1000841,man,2001-07-08,Jeju,2019-12-03
1000842,man,2001-08-13,Jeju,2019-12-03
1000843,man,2001-08-18,Daegu,2019-12-03
1000844,man,2006-09-10,Gyeonggi,2019-12-03
1000845,man,2006-09-15,Gyeonggi,2019-12-03
1000846,man,2006-10-15,Gangwon,2019-12-03
1000847,man,2006-10-23,Busan,2019-12-03
1000848,man,2006-12-16,Daejeon,2019-12-03
1000849,man,2006-12-29,Jeju,2019-12-03
1000850,man,2007-02-03,Jeju,2019-12-03
1000851,man,2007-02-08,Daegu,2019-12-03
1000852,man,1966-01-19,Gwangju,2019-12-04
1000853,man,2001-08-23,Gwangju,2019-12-04
1000854,man,2007-02-13,Gwangju,2019-12-04
1000855,man,1966-02-09,Seoul,2019-12-07
1000856,man,1966-02-11,Seoul,2019-12-07
1000865,man,1966-09-13,Daejeon,2019-12-07
1000880,man,1995-03-28,Busan,2019-12-07
1000881,man,1995-03-28,Busan,2019-12-07
1000882,man,1995-03-28,Busan,2019-12-07
1000883,man,1995-04-20,Daejeon,2019-12-07
1000884,man,1995-04-20,Daejeon,2019-12-07
1000885,man,1995-04-20,Daejeon,2019-12-07
1000886,man,2001-09-13,Seoul,2019-12-07
1000887,man,2001-09-15,Seoul,2019-12-07
1000896,man,2002-04-17,Daejeon,2019-12-07
1000897,man,2007-03-06,Seoul,2019-12-07
1000898,man,2007-03-08,Seoul,2019-12-07
1000907,man,2007-10-08,Daejeon,2019-12-07
1000908,man,1966-10-06,Jeju,2019-12-08
1000909,man,1966-10-16,Jeju,2019-12-08
1000910,man,1966-10-18,Daegu,2019-12-08
1000911,man,2002-05-10,Jeju,2019-12-08
1000912,man,2002-05-20,Jeju,2019-12-08
1000913,man,2002-05-22,Daegu,2019-12-08
1000914,man,2007-10-31,Jeju,2019-12-08
1000915,man,2007-11-10,Jeju,2019-12-08
1000916,man,2007-11-12,Daegu,2019-12-08
1000917,man,1966-10-24,Gwangju,2019-12-09
1000918,man,1966-10-31,Seoul,2019-12-09
1000919,man,1967-02-04,Seoul,2019-12-09
1000920,man,1967-04-08,Incheon,2019-12-09
1000929,man,2002-05-28,Gwangju,2019-12-09
1000930,man,2002-06-04,Seoul,2019-12-09
1000931,man,2002-09-08,Seoul,2019-12-09
1000932,man,2002-11-10,Incheon,2019-12-09
1000933,man,2007-11-18,Gwangju,2019-12-09
1000934,man,2007-11-25,Seoul,2019-12-09
1000935,man,2008-02-29,Seoul,2019-12-09
1000936,man,2008-05-02,Incheon,2019-12-09
1000937,man,1967-05-06,Seoul,2019-12-11
1000938,man,1967-05-08,Daegu,2019-12-11
1000939,man,1967-05-29,Incheon,2019-12-11
1000940,man,1967-06-06,Seoul,2019-12-11
1000941,man,1967-07-14,Daegu,2019-12-11
1000942,man,1967-07-21,Seoul,2019-12-11
1000943,man,1967-10-01,Gyeonggi,2019-12-11
1000944,man,1968-02-13,Gyeonggi,2019-12-11
1000948,man,2002-12-08,Seoul,2019-12-11
1000949,man,2002-12-10,Daegu,2019-12-11
1000950,man,2002-12-31,Incheon,2019-12-11
1000951,man,2003-01-08,Seoul,2019-12-11
1000952,man,2003-02-15,Daegu,2019-12-11
1000953,man,2003-02-22,Seoul,2019-12-11
1000954,man,2003-05-05,Gyeonggi,2019-12-11
1000955,man,2003-09-17,Gyeonggi,2019-12-11
1000956,man,2008-05-30,Seoul,2019-12-11
1000957,man,2008-06-01,Daegu,2019-12-11
1000958,man,2008-06-22,Incheon,2019-12-11
1000959,man,2008-06-30,Seoul,2019-12-11
1000960,man,2008-08-07,Daegu,2019-12-11
1000961,man,2008-08-14,Seoul,2019-12-11
1000962,man,2008-10-25,Gyeonggi,2019-12-11
1000963,man,2009-03-09,Gyeonggi,2019-12-11
1000970,man,1968-04-15,Seoul,2019-12-15
1000971,man,1968-05-02,Gyeonggi,2019-12-15
1000972,man,1968-05-04,Gyeonggi,2019-12-15
1000973,man,1968-05-20,Gangwon,2019-12-15
1000974,man,1968-06-23,Busan,2019-12-15
1000975,man,1968-07-05,Daejeon,2019-12-15
1000976,man,1968-09-15,Jeju,2019-12-15
1000977,man,1968-10-01,Jeju,2019-12-15
1000986,man,1995-03-28,Gangwon,2019-12-15
1000987,man,1995-03-28,Gangwon,2019-12-15
1000988,man,1995-03-28,Gangwon,2019-12-15
1000989,man,1995-04-20,Busan,2019-12-15
1000990,man,1995-04-20,Busan,2019-12-15
1000991,man,1995-04-20,Busan,2019-12-15
1000992,man,2003-11-18,Seoul,2019-12-15
1000993,man,2003-12-05,Gyeonggi,2019-12-15
1000994,man,2003-12-07,Gyeonggi,2019-12-15
1000995,man,2003-12-23,Gangwon,2019-12-15
1000996,man,2004-01-26,Busan,2019-12-15
1000997,man,2004-02-07,Daejeon,2019-12-15
1000998,man,2004-04-19,Jeju,2019-12-15
1000999,man,2004-05-05,Jeju,2019-12-15
1001000,man,2009-05-10,Seoul,2019-12-15
1001001,man,2009-05-27,Gyeonggi,2019-12-15
1001002,man,2009-05-29,Gyeonggi,2019-12-15
1001003,man,2009-06-14,Gangwon,2019-12-15
1001004,man,2009-07-18,Busan,2019-12-15
1001005,man,2009-07-30,Daejeon,2019-12-15
1001006,man,2009-10-10,Jeju,2019-12-15
1001007,man,2009-10-26,Jeju,2019-12-15
1001060,man,1965-08-14,Seoul,2019-12-30
1001073,man,1995-03-28,Gyeonggi,2019-12-30
1001074,man,1995-03-28,Gyeonggi,2019-12-30
1001075,man,1995-03-28,Gyeonggi,2019-12-30
1001076,man,1995-04-20,Gangwon,2019-12-30
1001077,man,1995-04-20,Gangwon,2019-12-30
1001078,man,1995-04-20,Gangwon,2019-12-30
1001087,man,2001-03-18,Seoul,2019-12-30
1001096,man,2006-09-08,Seoul,2019-12-30
1001097,man,1976-09-01,Gyeonggi,2020-01-10
1001098,man,1977-11-26,Incheon,2020-01-10
1001099,man,1986-03-21,Gwangju,2020-01-10
1001100,man,1991-09-11,Gwangju,2020-01-10
1001101,man,2000-09-26,Incheon,2020-01-10
1001102,man,1976-08-31,Seoul,2020-01-15
1001103,man,1977-11-19,Seoul,2020-01-15
1001104,man,1986-03-16,Seoul,2020-01-15
1001105,man,1991-09-06,Seoul,2020-01-15
1001106,man,2000-09-28,Seoul,2020-01-15
1001107,man,1976-08-27,Gangwon,2020-01-20
1001108,man,1977-11-14,Seoul,2020-01-20
1001109,man,1986-03-14,Seoul,2020-01-20
1001110,man,1991-09-04,Seoul,2020-01-20
1001111,man,2000-10-02,Seoul,2020-01-20
1001112,man,1977-06-29,Daegu,2020-01-22
1001113,man,1978-11-28,Gyeonggi,2020-01-22
1001115,man,1998-10-10,Gyeonggi,2020-01-22
